Query,CPU Energy Consumption (Joules),RAM Energy Consumption (Joules),Total Energy Consumption (Joules),Query Duration (seconds)
"select name, state_id from cities where country_id= 1;",3,0.362298,3.362298,0.05387949944
"select name, state_id from cities where country_id= 1;",3.1,0.3622981,3.4622981,0.05206227303
"select name, state_id from cities where country_id= 1;",3.2,0.3622982,3.5622982,0.05118775368
"select name, state_id from cities where country_id= 1;",3.2,0.3622983,3.5622983,0.05173063278
"select name, state_id from cities where country_id= 1;",3,0.362298,3.362298,0.05048203468
"select name, state_id from cities where country_id= 1;",3.2,0.3622981,3.5622981,0.05155682564
"select name, state_id from cities where country_id= 1;",3.2,0.3622982,3.5622982,0.05285573006
"select name, state_id from cities where country_id= 1;",3.1,0.362298,3.462298,0.05137038231
"select name, state_id from cities where country_id= 1;",3.3,0.3622983,3.6622983,0.05080914497
"select name, state_id from cities where country_id= 1;",3.5,0.3622986,3.8622986,0.05140376091
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",0.17,0.04975742105,0.219757421,0.00501871109
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",0.18,0.03920303393,0.2192030339,0.004448890686
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",0.16,0.03845070223,0.1984507022,0.004367828369
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",0.19,0.03790652108,0.2279065211,0.004205703735
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",0.19,0.03989527423,0.2298952742,0.004348754883
