Query,package_0,package_1,CPU,dram_0,dram_1,RAM,Total,duration
"select name, state_id from cities where country_id= 1;",2098261,1678768,3.777029,289674,209564,0.499238,4.276267,0.06488776207
"select name, state_id from cities where country_id= 1;",1563534,1047849,2.611383,181427,123945,0.305372,2.916755,0.03848409653
"select name, state_id from cities where country_id= 1;",1660946,1141050,2.801996,174864,124068,0.298932,3.100928,0.03815555573
"select name, state_id from cities where country_id= 1;",1904902,1323850,3.228752,174313,123685,0.297998,3.52675,0.03874492645
"select name, state_id from cities where country_id= 1;",2161799,1612666,3.774465,179576,131106,0.310682,4.085147,0.04008626938
"select name, state_id from cities where country_id= 1;",2209833,1655513,3.865346,178766,130218,0.308984,4.17433,0.04032588005
"select name, state_id from cities where country_id= 1;",2158075,1649654,3.807729,177970,131030,0.309,4.116729,0.03992462158
"select name, state_id from cities where country_id= 1;",2145624,1554012,3.699636,169448,124328,0.293776,3.993412,0.03809213638
"select name, state_id from cities where country_id= 1;",2095698,1557797,3.653495,169708,120166,0.289874,3.943369,0.03790926933
"select name, state_id from cities where country_id= 1;",2140131,1551693,3.691824,170427,124083,0.29451,3.986334,0.03793501854
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",341552,306457,0.648009,48639,36934,0.085573,0.733582,0.01176285744
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",84961,78064,0.163025,13311,9731,0.023042,0.186067,0.003137350082
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",87403,72205,0.159608,13189,6472,0.019661,0.179269,0.002996444702
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",86914,85755,0.172669,13281,9792,0.023073,0.195742,0.003032207489
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",87585,85816,0.173401,13280,9669,0.022949,0.19635,0.003046512604
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",91065,77941,0.169006,13449,9945,0.023394,0.1924,0.002929925919
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",101562,80444,0.182006,13464,9792,0.023256,0.205262,0.002890110016
"INSERT INTO cities (id,name,state_id,state_code,country_id,country_code,latitude,longitude) VALUES (148591,'John Doe','2824','RM',44,'CL',-33.4251643,-70.7261203) ON DUPLICATE KEY UPDATE id=1499999;",99548,82520,0.182068,8874,9746,0.01862,0.200688,0.002848625183
