Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.33,0.23,4.57,15.18,"db.all_energy_statistics.find({""year"": 1995})",3.94,0.19,4.13,13.16,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.34,0.3,5.64,16.82,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.03,0.24,4.27,13.94
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.55,0.23,4.78,14.64,"db.all_energy_statistics.find({""year"": 1995})",4.49,0.2,4.69,13.92,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.38,0.28,5.67,16.15,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.05,0.23,4.28,13.76
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.26,0.22,4.48,13.8,"db.all_energy_statistics.find({""year"": 1995})",3.26,0.19,3.45,13.51,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.19,0.28,5.47,16.15,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.96,0.23,4.19,13.65
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.64,0.21,3.85,13.36,"db.all_energy_statistics.find({""year"": 1995})",3.53,0.2,3.73,13.65,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.3,0.3,5.6,16.47,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.01,0.23,4.24,13.6
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4,0.22,4.21,13.49,"db.all_energy_statistics.find({""year"": 1995})",3.55,0.2,3.74,13.61,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.76,0.3,5.05,16.34,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.02,0.23,4.25,13.8
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.47,0.22,3.69,13.64,"db.all_energy_statistics.find({""year"": 1995})",3.7,0.19,3.89,13.41,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.46,0.3,5.75,16.39,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.32,0.23,3.55,13.75
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.61,0.22,3.83,13.7,"db.all_energy_statistics.find({""year"": 1995})",4.19,0.2,4.4,13.96,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.52,0.29,5.82,16.37,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.82,0.23,4.05,13.64
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.27,0.22,4.49,13.71,"db.all_energy_statistics.find({""year"": 1995})",3.72,0.2,3.92,13.57,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.49,0.29,5.79,16.23,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.97,0.22,4.19,13.29
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.66,0.21,3.88,13.33,"db.all_energy_statistics.find({""year"": 1995})",3.11,0.19,3.3,13.21,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.61,0.29,5.91,16.35,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.34,0.23,3.56,13.35
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",4.01,0.19,4.21,13.65,"db.all_energy_statistics.find({""year"": 1995})",3.81,0.19,4,13.32,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",5.74,0.3,6.04,16.49,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.67,0.23,3.9,13.65
