Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.71,0.41,4.12,13.11,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",4.02,0.38,4.41,12.9,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.2,0.13,2.33,7.49,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.76,0.12,1.88,7.23
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.51,0.38,3.89,12.43,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",4.09,0.38,4.47,12.52,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.26,0.12,2.38,6.72,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.82,0.12,1.94,7.09
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.62,0.38,4,12.43,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",4.11,0.39,4.5,12.86,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.04,0.12,2.16,6.66,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2.4,0.11,2.51,6.89
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.9,0.38,4.28,12.41,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",3.42,0.38,3.79,12.23,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2,0.12,2.12,6.56,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2.53,0.11,2.64,6.85
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2.77,0.38,3.15,12.38,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",3.36,0.37,3.74,12.22,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.39,0.11,2.5,6.21,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.63,0.11,1.74,6.87
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.83,0.38,4.21,12.28,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",5.88,0.38,6.26,12.31,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.02,0.11,2.13,6.2,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2.01,0.11,2.12,7.09
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.46,0.39,3.85,12.47,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",3.62,0.38,4,12.44,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.18,0.11,2.29,6.23,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.78,0.11,1.89,6.94
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.57,0.38,3.95,12.58,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",4.9,0.38,5.28,12.33,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.21,0.11,2.32,6.26,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2.32,0.11,2.43,7.05
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.48,0.38,3.86,12.42,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",2.99,0.38,3.36,12.38,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.02,0.11,2.13,6.32,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",2,0.11,2.11,6.91
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",3.89,0.39,4.28,12.77,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",4.11,0.38,4.49,12.47,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",2.57,0.12,2.69,6.36,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.73,0.11,1.84,6.9
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",2.75,0.4,3.15,12.88,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.12,0.38,3.5,12.28,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.98,0.11,2.09,6.07,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.79,0.12,1.9,7.14
