Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.88,0.41,4.28,12.75,"db.online_retail.find({""StockCode"": ""85123A""})",3.67,0.4,4.07,12.71,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",3.16,0.47,3.64,14.12,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.79,0.43,4.22,13.43
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.81,0.39,4.23,12.93,"db.online_retail.find({""StockCode"": ""85123A""})",4.52,0.39,4.91,13.37,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",3.13,0.45,3.57,14.77,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",4.21,0.41,4.62,13.68
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.26,0.43,3.69,13.9,"db.online_retail.find({""StockCode"": ""85123A""})",5.22,0.48,5.7,15.2,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",3.61,0.53,4.14,16.95,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.81,0.45,4.27,14.7
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.68,0.42,4.1,14.75,"db.online_retail.find({""StockCode"": ""85123A""})",3.12,0.48,3.6,15.17,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",4.2,0.52,4.72,16.16,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.12,0.42,3.53,13.98
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.11,0.24,2.34,7.64,"db.online_retail.find({""StockCode"": ""85123A""})",2.21,0.25,2.45,8.01,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.42,0.32,2.75,10.13,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.41,0.31,2.72,9.82
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.25,0.21,2.46,6.86,"db.online_retail.find({""StockCode"": ""85123A""})",2.64,0.21,2.85,7.02,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.66,0.24,2.89,7.48,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.59,0.23,2.82,7.39
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.51,0.21,2.72,7.01,"db.online_retail.find({""StockCode"": ""85123A""})",3.25,0.22,3.47,7.11,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.05,0.25,2.31,7.98,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.43,0.24,2.67,7.85
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.14,0.18,2.33,6.69,"db.online_retail.find({""StockCode"": ""85123A""})",2.46,0.19,2.64,6.89,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.22,0.22,2.44,7.72,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.73,0.2,2.93,7.37
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.66,0.18,2.85,6.86,"db.online_retail.find({""StockCode"": ""85123A""})",1.53,0.2,1.73,7.41,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.61,0.22,2.83,7.73,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.38,0.2,2.58,7.2
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",2.26,0.27,2.53,13.93,"db.online_retail.find({""StockCode"": ""85123A""})",3.23,0.28,3.51,14.14,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",3.38,0.32,3.7,15.91,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",3.2,0.29,3.5,14.64
